author_type,floor,floors_count,rooms_count,total_meters,underground,availability_underground,price_per_meter
developer,2,16,1,55.9,Динамо,True,383936
unknown,26,41,2,50.0,Шелепиха,True,680000
real_estate_agent,22,22,1,15.8,Юго-Западная,True,499367
real_estate_agent,3,5,2,67.2,Спортивная,True,424107
homeowner,3,9,2,44.0,Отрадное,True,352273
real_estate_agent,5,13,1,36.62,Приморская,True,251229
developer,2,25,1,30.4,Машиностроителей,True,206842
real_estate_agent,23,26,1,37.0,not available,False,270270
developer,3,6,2,45.4,not available,False,130000
real_estate_agent,25,45,1,64.0,Шелепиха,True,640625
homeowner,12,12,1,39.1,Сходненская,True,322251
real_estate_agent,3,9,2,37.0,Бабушкинская,True,356730
real_estate_agent,13,33,2,40.0,Бульвар Рокоссовского,True,447500
developer,2,17,2,52.68,not available,False,122627
developer,2,9,2,73.9,Динамо,True,349648
real_estate_agent,7,20,1,43.09,Тульская,True,470000
developer,3,16,1,35.8,Ботаническая,True,157397
homeowner,13,47,2,51.0,Фили,True,646078
real_estate_agent,3,5,1,31.0,Маяковская,True,596774
developer,25,25,1,37.2,Чкаловская,True,215782
real_estate_agent,31,65,2,51.1,Москва-Сити,True,978474
real_estate_agent,3,11,2,53.0,not available,False,420755
real_estate_agent,31,40,2,79.1,Ховрино,True,385588
developer,14,25,2,70.6,Геологическая,True,166190
realtor,15,28,1,40.0,Раменки,True,762500
real_estate_agent,8,22,2,87.2,Поклонная,True,435780
real_estate_agent,2,44,1,48.1,Улица 1905 года,True,519751
real_estate_agent,10,10,2,45.5,not available,False,269231
developer,2,9,2,49.07,not available,False,447700
real_estate_agent,10,12,1,55.0,Маяковская,True,590909
real_estate_agent,3,7,2,62.0,Новокузнецкая,True,854839
real_estate_agent,4,38,2,65.0,Ростокино,True,353846
developer,3,6,1,33.4,not available,False,137000
real_estate_agent,4,21,2,56.2,Улица 1905 года,True,980000
realtor,2,15,1,31.9,ЦСКА,True,368598
developer,21,22,1,34.4,not available,False,148417
real_estate_agent,13,30,1,93.8,Стрешнево,True,309168
realtor,25,25,2,59.7,not available,False,184087
developer,16,19,2,50.3,Горки,True,183600
real_estate_agent,2,9,2,74.0,Аминьевская,True,405405
real_estate_agent,8,13,2,57.9,Приморская,True,280000
representative_developer,4,7,2,66.4,not available,False,125000
homeowner,8,12,1,38.8,Домодедовская,True,350000
real_estate_agent,10,12,2,44.0,Грачёвская,True,245455
real_estate_agent,5,6,1,41.0,Спортивная,True,706829
real_estate_agent,22,22,1,15.8,Юго-Западная,True,499367
developer,15,17,1,36.43,not available,False,135603
realtor,3,21,2,59.2,Улица 1905 года,True,1030405
realtor,13,14,1,39.0,Москва-Товарная,True,451282
real_estate_agent,12,17,2,57.8,Раменки,True,483166
developer,2,8,1,42.64,Проспект Космонавтов,True,182070
real_estate_agent,4,26,1,46.0,Давыдково,True,739130
real_estate_agent,3,8,2,57.0,Пушкинская,True,822807
developer,4,12,2,55.2,not available,False,146800
real_estate_agent,14,24,2,46.0,Матвеевская,True,673913
developer,3,9,1,39.02,not available,False,460950
real_estate_agent,4,9,2,47.0,Ломоносовский проспект,True,568085
developer,4,19,1,31.8,Горки,True,278000
real_estate_agent,13,41,1,43.0,Шелепиха,True,555814
homeowner,9,9,2,60.0,Химки,True,300000
representative_developer,2,7,1,39.4,not available,False,160000
real_estate_agent,5,6,1,35.0,not available,False,288571
real_estate_agent,2,4,1,31.0,not available,False,383871
